"No.","Time","Source","Destination","IP_TTL","Query_ID","Protocol","Length","Info","domain_length","QR","RCODE","Opcode","RA","Qname","DNS_TTL","QType"
"4","1.084926","129.173.67.123","129.173.22.37","128","0xbe31","DNS","70","Standard query 0xbe31 A 299-300.ru","10","Message is a query","","Standard query","","299-300.ru","","A (Host Address)"
"5","1.098524","129.173.67.123","129.173.22.37","128","0xa6bc","DNS","70","Standard query 0xa6bc A 299-300.ru","10","Message is a query","","Standard query","","299-300.ru","","A (Host Address)"
"9","1.275559","129.173.22.37","129.173.67.123","62","0xbe31","DNS","131","Standard query response 0xbe31 A 299-300.ru A 77.222.42.226[Packet size limited during capture]","10","Message is a response","No error","Standard query","Server can do recursive queries","299-300.ru","600","A (Host Address)"
"10","1.275586","129.173.22.37","129.173.67.123","62","0xa6bc","DNS","131","Standard query response 0xa6bc A 299-300.ru A 77.222.42.226[Packet size limited during capture]","10","Message is a response","No error","Standard query","Server can do recursive queries","299-300.ru","600","A (Host Address)"
"11","1.276076","129.173.67.123","129.173.22.37","128","0x492a","DNS","70","Standard query 0x492a AAAA 299-300.ru","10","Message is a query","","Standard query","","299-300.ru","","AAAA (IPv6 Address)"
"12","1.276077","129.173.67.123","129.173.22.37","128","0x35b6","DNS","70","Standard query 0x35b6 AAAA 299-300.ru","10","Message is a query","","Standard query","","299-300.ru","","AAAA (IPv6 Address)"
"14","1.433895","129.173.22.37","129.173.67.123","62","0x35b6","DNS","129","Standard query response 0x35b6 AAAA 299-300.ru SOA[Packet size limited during capture]","10","Message is a response","No error","Standard query","Server can do recursive queries","299-300.ru","","AAAA (IPv6 Address)"
"15","1.433912","129.173.22.37","129.173.67.123","62","0x492a","DNS","129","Standard query response 0x492a AAAA 299-300.ru SOA[Packet size limited during capture]","10","Message is a response","No error","Standard query","Server can do recursive queries","299-300.ru","","AAAA (IPv6 Address)"
"32","2.284148","129.173.67.123","129.173.22.37","128","0xf475","DNS","83","Standard query 0xf475 A 32v235235n645645435.org","23","Message is a query","","Standard query","","32v235235n645645435.org","","A (Host Address)"
"33","2.297670","129.173.67.123","129.173.22.37","128","0x50ca","DNS","83","Standard query 0x50ca A 32v235235n645645435.org","23","Message is a query","","Standard query","","32v235235n645645435.org","","A (Host Address)"
